"state","top_words","rank"
"filler","hi",1
"filler","hello",2
"MI","like",1
"MI","dont",2
"MI","get",3
"MI","can",4
"MI","love",5
"MI","one",6
"MI","day",7
"MI","happy",8
"MI","now",9
"MI","want",10
"MI","back",11
"MI","school",12
"MI","today",13
"MI","even",14
"MI","got",15
"MI","know",16
"MI","lol",17
"MI","time",18
"MI","going",19
"MI","people",20
"MI","better",21
"MI","always",22
"MI","good",23
"MI","really",24
"MI","thats",25
"MI","tomorrow",26
"MI","ass",27
"MI","see",28
"MI","youre",29
"MI","come",30
"MI","game",31
"MI","say",32
"MI","still",33
"MI","tonight",34
"MI","best",35
"MI","bitch",36
"MI","cant",37
"MI","getting",38
"MI","gonna",39
"MI","miss",40
"MI","right",41
"MI","someone",42
"MI","thank",43
"MI","wanna",44
"MI","way",45
"MI","life",46
"MI","tell",47
"MI","thanks",48
"MI","think",49
"MI","will",50
"MI","bad",51
"MI","birthday",52
"MI","call",53
"MI","damn",54
"MI","days",55
"MI","follow",56
"MI","home",57
"MI","ill",58
"MI","last",59
"MI","much",60
"MI","need",61
"MI","never",62
"MI","something",63
"MI","valentines",64
"MI","watching",65
"MI","year",66
"MI","anyone",67
"MI","black",68
"MI","closed",69
"MI","detroit",70
"MI","hot",71
"MI","job",72
"MI","little",73
"MI","live",74
"MI","look",75
"MI","make",76
"MI","real",77
"MI","whats",78
"MI","work",79
"MI","baby",80
"MI","everything",81
"MI","feeling",82
"MI","god",83
"MI","hate",84
"MI","michigan",85
"MI","mom",86
"MI","play",87
"MI","point",88
"MI","said",89
"MI","start",90
"MI","asked",91
"MI","bed",92
"MI","bout",93
"MI","cause",94
"MI","eat",95
"MI","end",96
"MI","enough",97
"MI","everyday",98
"MI","everyone",99
"MI","feel",100
"NV","vegas",1
"NV","like",2
"NV","love",3
"NV","las",4
"NV","day",5
"NV","cant",6
"NV","get",7
"NV","always",8
"NV","good",9
"NV","got",10
"NV","lol",11
"NV","now",12
"NV","want",13
"NV","back",14
"NV","job",15
"NV","one",16
"NV","people",17
"NV","thats",18
"NV","youre",19
"NV","dont",20
"NV","god",21
"NV","really",22
"NV","time",23
"NV","valentines",24
"NV","ass",25
"NV","black",26
"NV","happy",27
"NV","look",28
"NV","may",29
"NV","much",30
"NV","say",31
"NV","see",32
"NV","thanks",33
"NV","think",34
"NV","watch",35
"NV","better",36
"NV","come",37
"NV","even",38
"NV","feel",39
"NV","going",40
"NV","great",41
"NV","know",42
"NV","still",43
"NV","today",44
"NV","tonight",45
"NV","ugly",46
"NV","well",47
"NV","will",48
"NV","world",49
"NV","beautiful",50
"NV","bitch",51
"NV","can",52
"NV","didnt",53
"NV","doesnt",54
"NV","done",55
"NV","everyone",56
"NV","favorite",57
"NV","girls",58
"NV","healthcare",59
"NV","jobs",60
"NV","last",61
"NV","lasvegas",62
"NV","makes",63
"NV","man",64
"NV","need",65
"NV","next",66
"NV","night",67
"NV","pretty",68
"NV","real",69
"NV","something",70
"NV","sorry",71
"NV","stop",72
"NV","trying",73
"NV","ask",74
"NV","bay",75
"NV","best",76
"NV","birthday",77
"NV","bless",78
"NV","call",79
"NV","cool",80
"NV","curry",81
"NV","drinking",82
"NV","ever",83
"NV","face",84
"NV","follow",85
"NV","following",86
"NV","fun",87
"NV","heart",88
"NV","hospital",89
"NV","ill",90
"NV","isnt",91
"NV","maybe",92
"NV","mean",93
"NV","miss",94
"NV","mom",95
"NV","morning",96
"NV","never",97
"NV","peace",98
"NV","photo",99
"NV","please",100
"OK","dont",1
"OK","like",2
"OK","job",3
"OK","one",4
"OK","good",5
"OK","love",6
"OK","jobs",7
"OK","people",8
